,seed_title,seed_url,seed_creator,seed_viewcount,seed_upload_date,rec_title,rec_url,rec_creator,rec_viewcount,rec_upload_date
53,Candace Owens - The Adam Carolla Show,https://www.youtube.com/watch?v=DjwAr6qDpeY,Adam Carolla,"224,048",16-Apr-21,Steve Bannon | Full Address and Q&A | Oxford Union,https://www.youtube.com/watch?v=8AtOw-xyMo8,OxfordUnion,"3,347,008",16-Nov-18
54,Candace Owens - The Adam Carolla Show,https://www.youtube.com/watch?v=DjwAr6qDpeY,Adam Carolla,"224,048",16-Apr-21,Jordan Peterson: From the Barricades of the Culture Wars,https://www.youtube.com/watch?v=v6H2HmKDbZA,The Aspen Institute,"4,759,042",27-Jun-18
55,Political Correctness and Vacuous Wokeness: Douglas Murray debates Sylvana Simons,https://www.youtube.com/watch?v=m2zZMg7SNWA,Sky News Australia,"990,264",14-Dec-19,Lectures: Exploring the Psychology of Creativity,https://www.youtube.com/watch?v=KxGPe1jD-qY,National Gallery of Canada,"3,467,982",27-Apr-17
56,Political Correctness and Vacuous Wokeness: Douglas Murray debates Sylvana Simons,https://www.youtube.com/watch?v=m2zZMg7SNWA,Sky News Australia,"990,264",14-Dec-19,Comedian Andrew Doyle takes apart woke comedy and political correctness - BQ #5,https://www.youtube.com/watch?v=IqQBLIzDDUQ,The Sun,"928,794",23-Jan-20
57,Political Correctness and Vacuous Wokeness: Douglas Murray debates Sylvana Simons,https://www.youtube.com/watch?v=m2zZMg7SNWA,Sky News Australia,"990,264",14-Dec-19,Comedian Andrew Doyle takes apart woke comedy and political correctness - BQ #5,https://www.youtube.com/watch?v=IqQBLIzDDUQ,The Sun,"928,794",23-Jan-20
58,Political Correctness and Vacuous Wokeness: Douglas Murray debates Sylvana Simons,https://www.youtube.com/watch?v=m2zZMg7SNWA,Sky News Australia,"990,264",14-Dec-19,It is 'not the first time' the ABC 'deliberately and deceptively' edited something,https://www.youtube.com/watch?v=R0NbEYOLKww,Sky News Australia,"114,403",15-Apr-21
59,Political Correctness and Vacuous Wokeness: Douglas Murray debates Sylvana Simons,https://www.youtube.com/watch?v=m2zZMg7SNWA,Sky News Australia,"990,264",14-Dec-19,'Racism has been redefined' Bret Weinstein on woke science & how humans succeed - BQ #31,https://www.youtube.com/watch?v=k1YZkAdn3Ls,The Sun,"341,799",11-Sep-20
60,Comedian Andrew Doyle takes apart woke comedy and political correctness - BQ #5,https://www.youtube.com/watch?v=IqQBLIzDDUQ,The Sun,"928,794",23-Jan-20,Tucker: Canada sending COVID positive travelers to 'internment' facilities,https://www.youtube.com/watch?v=QDIfFb5z7eQ,Fox News,"2,115,745",31-Mar-21
61,Comedian Andrew Doyle takes apart woke comedy and political correctness - BQ #5,https://www.youtube.com/watch?v=IqQBLIzDDUQ,The Sun,"928,794",23-Jan-20,Jordan Peterson | Full Address and Q&A | Oxford Union,https://www.youtube.com/watch?v=UZMIbo_DxJk,OxfordUnion,"7,081,550",24-Jun-18
62,Comedian Andrew Doyle takes apart woke comedy and political correctness - BQ #5,https://www.youtube.com/watch?v=IqQBLIzDDUQ,The Sun,"928,794",23-Jan-20,Jim Jordan Vs. Dr. Fauci: The Three Fiery Interchanges From Yesterday's Tense Hearing,https://www.youtube.com/watch?v=7bXqp_5Ukfg,Forbes Breaking News,"351,664",16-Apr-21
63,Comedian Andrew Doyle takes apart woke comedy and political correctness - BQ #5,https://www.youtube.com/watch?v=IqQBLIzDDUQ,The Sun,"928,794",23-Jan-20,"Reclaiming Freedom in the UK, with Laurence Fox",https://www.youtube.com/watch?v=Pcw0KDjPk-g,Hoover Institution,"574,375",25-Mar-21
