,seed_title,seed_url,seed_creator,rec_title,rec_url,rec_creator
72,"John Kennedy asks witness what ""systemic racism"" means during student debt forgiveness hearing",https://www.youtube.com//watch?v=iE6MtHxFGsQ,Forbes Breaking News,Trump slams Biden's border failures in 'Hannity' exclusive,https://www.youtube.com//watch?v=jMzZ8e8kzKQ,Fox News
73,"John Kennedy asks witness what ""systemic racism"" means during student debt forgiveness hearing",https://www.youtube.com//watch?v=iE6MtHxFGsQ,Forbes Breaking News,Gutfeld: Biden team openly admits it's better when he doesn't talk,https://www.youtube.com//watch?v=lgdgXN_3Q78,Fox News
74,"John Kennedy asks witness what ""systemic racism"" means during student debt forgiveness hearing",https://www.youtube.com//watch?v=iE6MtHxFGsQ,Forbes Breaking News,Jim Jordan Clashes With Dr. Fauci In Fiery House Hearing: “You’re Making This A Personal Thing”,https://www.youtube.com//watch?v=rh7_bKweDVk,Forbes Breaking News
75,Jim Jordan Vs. Dr. Fauci: The Three Fiery Interchanges From Yesterday's Tense Hearing,https://www.youtube.com//watch?v=7bXqp_5Ukfg&t=9s,Forbes Breaking News,Bernie Madoff: His Life and Crimes (CNBC Documentaries - Full Episode),https://www.youtube.com//watch?v=kc0tRPtsdcU,CNBC Television
76,Jim Jordan Vs. Dr. Fauci: The Three Fiery Interchanges From Yesterday's Tense Hearing,https://www.youtube.com//watch?v=7bXqp_5Ukfg&t=9s,Forbes Breaking News,Bernie Madoff: His Life and Crimes (CNBC Documentaries - Full Episode),https://www.youtube.com//watch?v=kc0tRPtsdcU,CNBC Television
77,Jim Jordan Vs. Dr. Fauci: The Three Fiery Interchanges From Yesterday's Tense Hearing,https://www.youtube.com//watch?v=7bXqp_5Ukfg&t=9s,Forbes Breaking News,Bernie Madoff: His Life and Crimes (CNBC Documentaries - Full Episode),https://www.youtube.com//watch?v=kc0tRPtsdcU,CNBC Television
78,Jim Jordan Vs. Dr. Fauci: The Three Fiery Interchanges From Yesterday's Tense Hearing,https://www.youtube.com//watch?v=7bXqp_5Ukfg&t=9s,Forbes Breaking News,Virtual Community Book Club with Former President Barack Obama,https://www.youtube.com//watch?v=dEQcJn_kHAs,Los Angeles Times
79,Jim Jordan Vs. Dr. Fauci: The Three Fiery Interchanges From Yesterday's Tense Hearing,https://www.youtube.com//watch?v=7bXqp_5Ukfg&t=9s,Forbes Breaking News,Judge will declare 'mistrial' if prosecution witness 'even mentions' new evidence in Chauvin trial,https://www.youtube.com//watch?v=UslJtluzpBM,The Hill
80,Bernie Madoff: His Life and Crimes (CNBC Documentaries - Full Episode),https://www.youtube.com//watch?v=kc0tRPtsdcU,CNBC Television,Panic: The Untold Story of the 2008 Financial Crisis | Full VICE Special Report | HBO,https://www.youtube.com//watch?v=QozGSS7QY_U,Council on Foreign Relations
81,Bernie Madoff: His Life and Crimes (CNBC Documentaries - Full Episode),https://www.youtube.com//watch?v=kc0tRPtsdcU,CNBC Television,20 | The History Behind Kerry Wood's 20 Strikeout Game,https://www.youtube.com//watch?v=IWbQyRAvZRc,Chicago Cubs
82,Bernie Madoff: His Life and Crimes (CNBC Documentaries - Full Episode),https://www.youtube.com//watch?v=kc0tRPtsdcU,CNBC Television,What’s Driving California’s Mass Exodus?,https://www.youtube.com//watch?v=Ez90rXhMWjE,CNBC
83,Bernie Madoff: His Life and Crimes (CNBC Documentaries - Full Episode),https://www.youtube.com//watch?v=kc0tRPtsdcU,CNBC Television,The Makings of Jeffrey Dahmer | The Oprah Winfrey Show | Oprah Winfrey Network,https://www.youtube.com//watch?v=fti2HX9BefU,OWN
84,Bernie Madoff: His Life and Crimes (CNBC Documentaries - Full Episode),https://www.youtube.com//watch?v=kc0tRPtsdcU,CNBC Television,MyPillow Mike Reacts to Jimmy Kimmel’s Monologue & We Play “Who’s High?”,https://www.youtube.com//watch?v=dk8MuQTP4-s,Jimmy Kimmel Live
85,What’s Driving California’s Mass Exodus?,https://www.youtube.com//watch?v=Ez90rXhMWjE,CNBC,Regreening the desert with John D. Liu | VPRO Documentary | 2012,https://www.youtube.com//watch?v=IDgDWbQtlKI,vpro documentary
86,What’s Driving California’s Mass Exodus?,https://www.youtube.com//watch?v=Ez90rXhMWjE,CNBC,Living into your 90s,https://www.youtube.com//watch?v=wqKfL3z5yM4,60 Minutes
87,What’s Driving California’s Mass Exodus?,https://www.youtube.com//watch?v=Ez90rXhMWjE,CNBC,Ron DeSantis touts Florida's new comprehensive 'anti-riot' bill,https://www.youtube.com//watch?v=odWJZh-fDhc,Fox News
88,What’s Driving California’s Mass Exodus?,https://www.youtube.com//watch?v=Ez90rXhMWjE,CNBC,Ron DeSantis touts Florida's new comprehensive 'anti-riot' bill,https://www.youtube.com//watch?v=odWJZh-fDhc,Fox News
89,What’s Driving California’s Mass Exodus?,https://www.youtube.com//watch?v=Ez90rXhMWjE,CNBC,Ron DeSantis touts Florida's new comprehensive 'anti-riot' bill,https://www.youtube.com//watch?v=odWJZh-fDhc,Fox News
90,Ron DeSantis touts Florida's new comprehensive 'anti-riot' bill,https://www.youtube.com//watch?v=odWJZh-fDhc,Fox News,Nebraska is now 'Second Amendment sanctuary state',https://www.youtube.com//watch?v=2JIZjVGD_Lw,Fox News
91,Ron DeSantis touts Florida's new comprehensive 'anti-riot' bill,https://www.youtube.com//watch?v=odWJZh-fDhc,Fox News,Kayleigh McEnany gives 'fiery' reaction to AOC's influence over Biden,https://www.youtube.com//watch?v=TQCMZW2OpLM,Fox News
92,Ron DeSantis touts Florida's new comprehensive 'anti-riot' bill,https://www.youtube.com//watch?v=odWJZh-fDhc,Fox News,“You Will Not Answer The Question”: Rand Paul Grills Biden Nominee In Tense Exchange,https://www.youtube.com//watch?v=6XTf_Xb5gC4,Forbes Breaking News
93,Ron DeSantis touts Florida's new comprehensive 'anti-riot' bill,https://www.youtube.com//watch?v=odWJZh-fDhc,Fox News,Judge in Chauvin case slams Maxine Waters' comments; 'The Five' reacts,https://www.youtube.com//watch?v=MTe0kX5zISA,Fox News
94,Ron DeSantis touts Florida's new comprehensive 'anti-riot' bill,https://www.youtube.com//watch?v=odWJZh-fDhc,Fox News,Kayleigh McEnany gives 'fiery' reaction to AOC's influence over Biden,https://www.youtube.com//watch?v=TQCMZW2OpLM,Fox News
95,Kayleigh McEnany gives 'fiery' reaction to AOC's influence over Biden,https://www.youtube.com//watch?v=TQCMZW2OpLM,Fox News,TIMELAPSE OF THE FUTURE: A Journey to the End of Time (4K),https://www.youtube.com//watch?v=uD4izuDMUQA,melodysheep
96,Kayleigh McEnany gives 'fiery' reaction to AOC's influence over Biden,https://www.youtube.com//watch?v=TQCMZW2OpLM,Fox News,Ted Cruz slams LeBron James' 'grossly irresponsible' tweet about officer,https://www.youtube.com//watch?v=VoBWVUhvD0o,Fox News
97,Kayleigh McEnany gives 'fiery' reaction to AOC's influence over Biden,https://www.youtube.com//watch?v=TQCMZW2OpLM,Fox News,'The Five' react to deleted LeBron James tweet about fatal police shooting,https://www.youtube.com//watch?v=HbYfC4woWPU,Fox News
98,Kayleigh McEnany gives 'fiery' reaction to AOC's influence over Biden,https://www.youtube.com//watch?v=TQCMZW2OpLM,Fox News,McEnany torches liberal media's 'heinous' coverage of Russia bounty story,https://www.youtube.com//watch?v=RNc9h8aFU2o,Fox News
99,Kayleigh McEnany gives 'fiery' reaction to AOC's influence over Biden,https://www.youtube.com//watch?v=TQCMZW2OpLM,Fox News,Robin Williams' secret battle with degenerative brain disease | 60 Minutes Australia,https://www.youtube.com//watch?v=lBsEiZX5w8U,60 Minutes Australia
